City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,kapa'a,22.0752,-159.319,29.139999999999986,88,100,3.09,US,2024-4-102
141,valparaiso,-33.0393,-71.6273,26.00999999999999,62,0,5.14,CL,2024-4-102
142,ravar,31.2656,56.8055,26.430000000000007,17,0,7.26,IR,2024-4-102
143,antonio enes,-16.2325,39.9086,29.620000000000005,86,95,5.35,MZ,2024-4-102
144,robbah,33.2797,6.9098,19.579999999999984,48,100,5.02,DZ,2024-4-102
145,tazovsky,67.4667,78.7,-21.610000000000014,98,14,4.28,RU,2024-4-102
146,linxia chengguanzhen,35.6003,103.2064,13.050000000000011,29,6,0.46,CN,2024-4-102
147,lompoc,34.6391,-120.4579,32.05000000000001,63,0,4.12,US,2024-4-102
148,qaqortoq,60.7167,-46.0333,0.44999999999998863,75,89,2.18,GL,2024-4-102
149,la sarre,48.8002,-79.1996,15.819999999999993,58,100,3.54,CA,2024-4-102
150,akoupe,6.39,-3.9003,27.99000000000001,84,88,1.37,CI,2024-4-102
151,praia da vitoria,38.7333,-27.0667,19.680000000000007,95,90,2.7,PT,2024-4-102
152,isangel,-19.55,169.2667,28.20999999999998,94,75,0.0,VU,2024-4-102
153,palmer,42.1584,-72.3287,16.95999999999998,82,100,2.06,US,2024-4-102
154,tazacorte,28.629,-17.9293,25.689999999999998,64,0,6.17,ES,2024-4-102
155,taupo,-38.6833,176.0833,19.30000000000001,93,100,5.71,NZ,2024-4-102
156,sapele,5.8941,5.6767,29.80000000000001,89,100,2.45,NG,2024-4-102
157,suva,-18.1416,178.4415,27.860000000000014,100,20,0.0,FJ,2024-4-102
158,sungai penuh,-2.0833,101.3833,21.879999999999995,95,100,1.86,ID,2024-4-102
159,menongue,-14.6585,17.691,22.850000000000023,86,96,1.75,AO,2024-4-102
160,isafjordur,66.0755,-23.124,5.170000000000016,75,100,7.2,IS,2024-4-102
161,gavrilov-yam,57.3018,39.8533,15.899999999999977,64,21,3.74,RU,2024-4-102
162,weinan,34.5036,109.5089,19.519999999999982,63,0,1.03,CN,2024-4-102
163,progreso,21.2833,-89.6667,36.20999999999998,71,85,7.22,MX,2024-4-102
164,hays,30.0502,-98.0336,30.970000000000027,28,0,5.26,US,2024-4-102
165,brookings,44.3114,-96.7984,13.20999999999998,72,100,10.8,US,2024-4-102
166,post,33.1909,-101.3782,22.019999999999982,29,0,2.9,US,2024-4-102
167,ad dilam,23.9915,47.1627,30.379999999999995,39,79,8.18,SA,2024-4-102
168,punta arenas,-53.15,-70.9167,13.20999999999998,57,0,7.2,CL,2024-4-102
169,mili,6.0815,171.735,30.180000000000007,87,100,8.34,MH,2024-4-102
170,touros,-5.1989,-35.4608,31.45999999999998,77,93,3.28,BR,2024-4-102
171,huarmey,-10.0681,-78.1522,28.69999999999999,72,25,5.44,PE,2024-4-102
172,at taj,24.2049,23.2857,25.339999999999975,18,100,3.46,LY,2024-4-102
173,prineville,44.2999,-120.8345,22.20999999999998,48,0,2.57,US,2024-4-102
174,iskateley,67.6803,53.1512,4.829999999999984,100,100,7.6,RU,2024-4-102
175,lerwick,60.1545,-1.1494,12.149999999999977,89,100,6.09,GB,2024-4-102
176,whitehorse,60.7161,-135.0538,7.050000000000011,51,16,3.58,CA,2024-4-102
